,Area (ft2),Thickness (ft),NTG,Porosity,Sw,Bo (ft3/ft3),GRV (ft3),NRV (ft3),HCPV (ft3),OIIP (mmbo)
30,106159.0093748797,50.0,0.7505841330117708,0.15058778160501454,0.11046356796046339,1.8353484325388099,5307950.468743985,3984063.4006516263,533678.5114710176,0.05178588832820214
31,101722.84491550314,50.0,0.7484360220617982,0.1484404423133827,0.10877105146532887,1.8340762893990261,5086142.245775157,3806652.070068419,503598.825174312,0.048900978713910075
32,121075.45524061882,50.0,0.7578070799949788,0.15744870727864857,0.11574658308990332,1.8393185450086993,6053772.7620309405,4587591.859747805,638705.4462016645,0.06184347847560452
33,146395.57368990767,50.0,0.7700677669450666,0.16852204079858896,0.12281605896992734,1.844624368546071,7319778.684495384,5636725.6261014575,833247.9955874662,0.08044824520674528
34,57394.032870849835,50.0,0.7269708109713642,0.1287131420023357,0.09583475222283654,1.8243645478667185,2869701.643542492,2086189.331051942,242786.43751516318,0.023700801764966556
35,21321.93083080487,50.0,0.7095037224334337,0.10821685002559048,0.09072555004410723,1.8205419244405505,1066096.5415402437,756399.4646962127,74428.81234138536,0.007280993508801039
36,91723.76303684642,50.0,0.7435941958693955,0.1438387240749027,0.10521345477223251,1.8314027234809953,4586188.15184232,3410262.890874939,438917.73185691226,0.04268246668236258
37,96370.83521516246,50.0,0.745844434047661,0.14594226520455128,0.10682044444076808,1.8326102727989022,4818541.760758122,3593882.5524876616,468472.1057821308,0.045526457622860964
38,139945.25722867443,50.0,0.7669443490582755,0.16567731938305486,0.12124185884814294,1.8434439436449133,6997262.861433721,5366511.210451931,781311.9406555885,0.07548223745633356
39,152806.3910786175,50.0,0.7731720583114191,0.17142250822925248,0.12422680590332862,1.8456815692685247,7640319.553930876,5907281.595669718,886843.8675177839,0.08557376324514467
40,129747.85786297364,50.0,0.7620064921687714,0.1612439722503836,0.11843685187128315,1.8413389601760703,6487392.893148682,4943435.501828845,702693.2597397764,0.0679645248245181
41,36086.14002766204,50.0,0.7166529522994322,0.11796567408479207,0.09222669091529462,1.821663924921723,1804307.001383102,1293061.9393957357,138468.94763453718,0.013537372305198164
42,115191.41532919419,50.0,0.7549578685467667,0.1548136447146677,0.11376175119127166,1.837827238364898,5759570.76645971,4348233.26959069,596585.3156735151,0.0578120161002173
43,122530.2350984572,50.0,0.7585115237934537,0.1580908798894131,0.11621742440756605,1.8396722380523531,6126511.754922859,4647029.766765044,649273.5423362971,0.06285466133102355
44,41251.710071425645,50.0,0.7191542611835979,0.12080529868746158,0.09294520237902254,1.822201314328937,2062585.5035712821,1483317.1539488046,162537.48197736903,0.01588573857433415
45,41063.730451431955,50.0,0.7190632363616424,0.1207053969984952,0.0929173005155221,1.822180441883479,2053186.5225715977,1476370.9457744393,161647.52614142207,0.015798938955643122
46,21189.858714317703,50.0,0.7094397695384925,0.1081132306424318,0.09071582030785033,1.8205346554936392,1059492.9357158851,751646.4241419384,73891.09047477058,0.007228419764931518
47,73976.19446867208,50.0,0.7350003426149011,0.13607258496291863,0.09981660716196804,1.8273501438989628,3698809.723433604,2718626.4139910266,333005.31393882196,0.03245485188462496
48,104545.72823140632,50.0,0.7498029385990266,0.14980096042551325,0.10984300334394301,1.8348819961585905,5227286.411570316,3919434.7122941837,522642.4032066972,0.050727883425778504
49,92652.50607842028,50.0,0.7440439183978511,0.14425521108357742,0.10552818257789821,1.8316392004870194,4632625.303921014,3446876.683598427,444758.15341369924,0.04324483338233832
50,38171.030263033725,50.0,0.7176625126043091,0.11913663293064766,0.09250464463231325,1.8218717861089844,1908551.5131516862,1369695.8743631952,148085.95839361247,0.014475924503972825
51,155111.54350403408,50.0,0.7742882755327909,0.1724909402587095,0.12469655337674163,1.846033443349534,7755577.175201704,6005052.476748401,906654.3197309499,0.08746864723349203
52,96283.71133540092,50.0,0.7458022463060131,0.14590233540953076,0.10678957556289763,1.8325870746000603,4814185.566770046,3590430.409831087,467910.2297548459,0.04547242971995488
53,101723.0204007101,50.0,0.748436107036487,0.1484405258667727,0.10877111717731369,1.8340763387891001,5086151.020035505,3806659.069235031,503599.9974572465,0.04890109122928734
54,194566.50552882056,50.0,0.7933934364735802,0.1969355900456897,0.12964934234291642,1.8497381199102283,9728325.276441028,7718389.422208339,1322955.2589134176,0.1273752794153658
55,194732.87544616562,50.0,0.7934739972923838,0.19709420528203886,0.12965784114291504,1.8497444677319612,9736643.77230828,7725773.654225446,1325274.547231838,0.12759814462187932
56,113039.41148226941,50.0,0.7539158100139295,0.15383040906275072,0.11300358769339094,1.8372574845999667,5651970.5741134705,4261109.973557651,581415.7617995407,0.056359484893948986
57,154514.68740688064,50.0,0.7739992616493802,0.17221277332825966,0.12457683017054533,1.8459437696313357,7725734.370344032,5979712.69834552,901495.8171095934,0.0869752103509805
58,106169.40403372746,50.0,0.7505891663870428,0.1505928178367463,0.110467538784055,1.835351417130036,5308470.201686373,3984480.2234742315,533749.8137607237,0.051792722974672405
59,171874.02719278252,50.0,0.7824051240153647,0.18094070265714532,0.12751448691440312,1.8481425220345118,8593701.359639127,6723755.978039459,1061466.8621420818,0.1022871835331508
60,115841.2484828946,50.0,0.7552725353554258,0.15510822654113413,0.11398729563024033,1.8379967234388104,5792062.42414473,4374585.672020684,601189.9440889886,0.05825285487038426
61,70819.01880053272,50.0,0.7334715526690319,0.13469787335713881,0.09897945774330225,1.8267220690284547,3540950.9400266362,2597186.7839062046,315209.0048009856,0.030730977849747928
62,146023.72233775628,50.0,0.7698877064516757,0.16835640448846986,0.12272952352314179,1.8445594986635574,7301186.116887813,5621093.433907575,830202.3536318119,0.08015701411416938
63,178535.25880189336,50.0,0.7856306727277417,0.1848327139814141,0.12834184261796516,1.8487611346024564,8926762.940094668,7013138.7739076475,1129893.4005034391,0.10884460528273723
64,146774.7462997084,50.0,0.7702513725896503,0.16869118967039592,0.12290376695169777,1.8446901150032011,7338737.314985421,5652672.489942404,836360.4169517503,0.08074586462412513
65,152106.24493326608,50.0,0.7728330285898696,0.1711009925607465,0.12408019833092124,1.845571733986407,7605312.246663304,5877636.496960427,880885.7751516601,0.08500391066890908
66,77920.19803304193,50.0,0.7369101359331913,0.13778470367775078,0.10091455784875948,1.82817414880764,3896009.901652097,2871009.186223506,355661.2531363801,0.034647286734019525
67,76752.78766173651,50.0,0.7363448442212458,0.13727812934548853,0.10058353187805764,1.8279256862087998,3837639.3830868257,2825825.9737163866,348905.3270942359,0.03399376784009
68,142664.9801857143,50.0,0.7682613125564526,0.16687016514371827,0.12192452412898586,1.843955934316165,7133249.0092857145,5480199.246665858,802984.0007144532,0.07755442695081842
69,22209.51887227083,50.0,0.7099335165964764,0.10890317680549831,0.09079264122282862,1.820592048511835,1110475.9436135415,788364.091745352,78060.31971127287,0.007636035231304626
70,134476.4616661685,50.0,0.7642962101674482,0.16329644991943248,0.11978571747309144,1.842351436349558,6723823.083308425,5138992.500409035,738657.5451481077,0.07140373022556298
71,131314.43108095395,50.0,0.7627650693392738,0.16192420002272098,0.11889295150529886,1.8416813596321455,6565721.554047697,5008103.056435556,714518.8535659846,0.06909544841885036
72,137417.5540063631,50.0,0.7657203667150034,0.1645747492387729,0.12058267305378695,1.842949440451077,6870877.700318155,5261170.992341557,761448.678255379,0.07358299414733149
73,142733.7275691072,50.0,0.7682946019009754,0.16690042645333839,0.12194142275719179,1.8439686063882943,7136686.3784553595,5483077.620027474,803535.9835807516,0.07760720565662133
74,177247.76834647608,50.0,0.7850072349876414,0.18404587044881954,0.12819491894035095,1.8486513019837052,8862388.417323804,6957039.026869858,1116271.6956062594,0.10753879139876593
